children,child
women,woman
men,man
people,person
barracks,barracks
alumnus,alumni
cactus,cacti
focus,foci/focuses
fungus,fungi/funguses
nucleus,nuclei
radius,radii
stimulus,timuli
axis,axes
analysi,sanalyses
basis,bases
crisis,crises
diagnosis,diagnoses
ellipsis,ellipses
hypothesis,hypotheses
oasis,oases
paralysis,paralyses
parenthesis,parentheses
synthesis,syntheses
synopsis,synopses
thesis,theses
appendix,appendices
index,indeces/indexes
matrix,matrices/matrixes
feet,foot
goose,geese
tooth,teeth
louse,lice
mouse,mice
