ABANDONAR;DESERTAR
ABANDONAR;DESERÇÃO
ABATIMENTO;DESCONTO
ABNEGAÇÃO;SACRIFÍCIO
ABRIGAR;PROTEGER
ABSTER;ABANDONAR
ABUSAR;ABUSIVO
ABÓBADA;TELHADO
ACABOU;ACABAR
ACANHADO;ACANHAR
ACANHADO;VERGONHA
ACEITAR;RECEPTIVIDADE
ACEITAÇÃO;ACEITA
ACELERARMOS;ACELERAR
ACLARAR;EXPLICAR
ACORDEOM;SANFONA
ACORDEON;SANFONA
ACORDEÃO;SANFONA
ACORDO;COALIZÃO
ACORDO;COLIGAÇÃO
ACUSAÇÃO;LIBELO_ACUSATÓRIO
ADENTRANDO;ADENTRAR
ADEQUADO;CABÍVEL
ADESIVO;ADESIVAR
ADIAR;PROCASTINAR
ADIAR;PRORROGAR
ADICIONANDO;ADICIONAR
ADICIONAR;MAIS
ADMINISTRATIVA;ADMINISTRATIVO
ADORO;ADORAR
AERONAVE;AVIÃO
AEROPLANO;AVIÃO
AFANAR;ROUBAR
AFASTAR;AFASTAMENTO
AFEIÇOADO;AFEIÇOAR
AFEIÇOADO;DISCÍPULO
AFERIR;MEDIR
AFERIÇÃO;MEDIR
AFERRAR;CERCAR
AFORTUNADO;AFORTUNAR
AFROBRASILEIRA;AFROBRASILEIRO
AGASTADO;AGASTAR
AGENCIAR;PEDIR
AGLOMERAÇÃO;MULTIDÃO
AGONIADO;AGONIAR
AGREGANDO;AGREGAR
AGRICULTORA;MULHER_ENXADA
AGRICULTURADA;AGRICULTURADO
AGROTÓXICO;DEFENSIVO_AGRÍCOLA
AIPIM;MACAXEIRA
AJUSTADO;AJUSTAR
AJUSTANDO;AJUSTAR
ALCUNHA;APELIDO
ALFORJE;SACOLA
ALGARISMO;NÚMERO
ALIENADO;ALIENAR
ALIMENTADA;ALIMENTADO
ALIMENTANDO;ALIMENTAR
ALIMENTAR;COMER
ALIMENTAÇÃO;COMER
ALIMENTO;COMER
ALOUCAR;LOUCO
ALPINISMO;ESCALAR
ALPINISTA;ESCALAR
ALTERANDO;ALTERAR
ALUGUEL;LOCAÇÃO
ALÉRGICO;PESSOA_ALERGIA
AMARGURADO;AMARGURAR
AMASIADO;AMASIAR
AMEDRONTADO;MEDO
AMENO;AMENIZAR
AMOLECER;MOLE
AMOLECIDO;MOLE
AMPARADA;AMPARADO
ANALISA;ANALISAR
ANALISADA;ANALISADO
ANALISANDO;ANALISAR
ANARQUIZADO;ANARQUIZAR
ANCIÃO;VELHO
ANDANDO;ANDAR
ANDARES;ANDAR
ANIMOSIDADE;INIMIGO
ANIQUILAR;DESTRUIR
ANTECIPANDO;ANTECIPAR
ANTECIPAR;ANTES
ANTECIPAÇÃO;ANTES
ANTEPASSADOS;ANTEPASSADO
ANTIGUIDADE;VELHO
ANUNCIADO;ANUNCIAR
ANUNCIANDO;ANUNCIAR
ANÚNCIO;CARTAZ
APANHAR;ESPANCAR
APARECIDA;APARECIDO
APAVORADO;MEDO
APELIDAR;APELIDO
APENSADO;APENSAÇÃO
APERFEIÇOANDO;APERFEIÇOAR
APIMENTADO;PIMENTA
APLAUDIDO;APLAUSO
APOIANDO;APOIAR
APONTANDO;APONTAR
APONTAR;APONTADO
APONTARMOS;APONTAR
APOSENTANDO;APOSENTAR
APOSENTAR;APOSENTADA
APOSENTO;QUARTO
APRECIADO;APRECIAR
APREENSIVO;MEDO
APRESENTA;APRESENTAR
APRESENTANDO;APRESENTAR
APRISIONADO;APRISIONAR
APRISIONAR;PRENDER
APROFUNDAR;PROFUNDO
APROXIMANDO;APROXIMAR
APURRINHANDO;APURRINHAR
APÓIEM;APOIAR
APÓSTOLO;DISCÍPULO
AQUECIDA;AQUECIDO
AQUÁTICA;AQUÁTICO
ARCUNFERÊNCIA;CÍRCULO
ARDIDO;PIMENTA
AREJADO;AREJAR
ARMAZENANDO;ARMAZENAR
ARREDONDADO;ARREDONDAR
ARREDORES;VIZINHO
ARREMATAR;PEGAR
ARRISCANDO;ARRISCAR
ARROJADO;ARRUJAR
ARROJADO;CORAJOSO
ARROJO;CORAJOSO
ARROMBAR;ARROMBAMENTO
ARTICULADO;ARTICULAR
ASCENSORISTA;ELEVADOR
