%;PORCENTAGEM
ABALAR;AGITAR
ABALO;MOVIMENTO
ABANADOR;LEQUE
ABANDONADO;DEIXAR
ABANDONAR;DEIXAR
ABANO;LEQUE
ABARRACAR;ACAMPAR
ABARROTADO;CHEIO
ABASTADO;RICO
ABATER;MORRER
ABATIMENTO;DESCONTO
ABDICAR;DEIXAR
ABDOME;BARRIGA
ABELHEIRO;ABELHA
ABIÓTICA;ABIÓTICO
ABISMADO;ESPANTADO
ABISMAR;ESPANTADO
ABLUÇÃO;BANHO
ABNEGAÇÃO;SACRIFÍCIO
ABÓBADA;TELHADO
ABOCANHAR;MORDER
ABOMINAR;ÓDIO
ABOMINÁVEL;ÓDIO
ABONADO;RICO
ABORDADA;ABORDADO
ABORÍGINE;ÍNDIO
ABORRECIDO;ABORRECER
ABORRECIMENTO;TÉDIO
ABORTO;ABORTAR
ABRAÇADA;ABRAÇADO
ABRANDAR;ALIVIAR
ABRANGENDO;ABRANGER
ABRASAR;INCENDIAR
ABRASIVA;ABRASIVO
ABRASIVO;LIXA
ABRIGAR;PROTEGER
ABRINDO;ABRIR
ABRIRMOS;ABRIR
ABSOLUTA;ABSOLUTO
ABSOLUTISMO;DITADURA
ABSTER;ABANDONAR
ABSTRACT;RESUMO
ABSURDEZ;ABSURDO
ABSURDEZA;ABSURDO
ABSURDIDADE;ABSURDO
ABUNDÂNCIA;MUITO
ABUNDANTEMENTE;MUITO
ABUTRE;URUBU
AÇA;ALBINISMO
ACABADO;PRONTO
ACABOU;ACABAR
ACÁCIA;ÁRVORE
ACALMAR;CALMO
ACAMAR;DOENTE
ACANHADO;VERGONHA
AÇÃO;FAZER
ACASO;COINCIDIR
ACATAR;OBEDECER
ACEDER;OBEDECER
ACEITA;ACEITO
ACELERADO;RÁPIDO
ACELERAR;RÁPIDO
ACELERARMOS;ACELERAR
ACESSANDO;ACESSAR
ACESSO;PARTICIPAR
ACHAR;ENCONTRAR
ACHATADA;ACHATADO
ACHOCOLATADO;CHOCOLATE
ÁCIDA;ÁCIDO
ACIONAR;LIGAR
ACLAMAÇÃO;APLAUSO
ACLAMAR;APLAUDIR
ACLARAR;EXPLICAR
ACLIVE;RAMPA
AÇOITAR;CHICOTE
AÇOITE;CHICOTE
ACOLÁ;LÁ
ACOMODARMOS;ACOMODAR
ACOMPANHAMENTO;ACOMPANHAR
ACOMPANHANTE;ACOMPANHAR
